TITLE = "Example: 2D Quad Element Data"
VARIABLES = "X", "Y", "Ux", "Uy", "Fx", "Fy"
ZONE NODES=121, ELEMENTS=100, DATAPACKING=POINT, ZONETYPE=FEQUADRILATERAL
30	80	-0.2	-0.421001	1.45519E-11	1.45519E-11
40	80	-0.1	-0.488341	-2.18279E-11	-1.81899E-11
50	80	1.35856E-15	-0.555681	-1.45519E-11	1.09139E-11
60	80	0.1	-0.623021	-1.81899E-11	-3.63798E-12
70	80	0.2	-0.69036	0	3.27418E-11
80	80	0.3	-0.7577	-2.54659E-11	-1.09139E-11
90	80	0.4	-0.82504	1.81899E-11	-1.81899E-11
100	80	0.5	-0.89238	1278.85	-1.27329E-11
0	90	-0.5	-0.246354	-1278.85	-3.63798E-12
10	90	-0.4	-0.313694	9.09495E-12	-5.45697E-12
20	90	-0.3	-0.381034	1.09139E-11	0
30	90	-0.2	-0.448374	1.45519E-11	3.63798E-12
40	90	-0.1	-0.515713	2.91038E-11	0
50	90	2.67431E-15	-0.583053	-7.27596E-12	0
60	90	0.1	-0.650393	1.09139E-11	0
70	90	0.2	-0.717733	-7.27596E-12	0
80	90	0.3	-0.785073	-1.09139E-11	-2.18279E-11
90	90	0.4	-0.852413	2.54659E-11	7.27596E-12
100	90	0.5	-0.919753	1278.85	1.81899E-12
0	100	-0.5	-0.273727	-639.426	4.54747E-13
10	100	-0.4	-0.341066	-6.36646E-12	-1.81899E-12
20	100	-0.3	-0.408406	1.81899E-12	0
30	100	-0.2	-0.475746	7.7307E-12	-1.09139E-11
40	100	-0.1	-0.543086	1.04592E-11	9.09495E-13
50	100	3.52296E-15	-0.610426	-3.18323E-12	-2.72848E-12
60	100	0.1	-0.677766	-1.81899E-12	5.45697E-12
70	100	0.2	-0.745106	2.27374E-11	-1.45519E-11
80	100	0.3	-0.812446	-4.54747E-12	-1.00044E-11
90	100	0.4	-0.879786	5.45697E-12	-2.72848E-12
100	100	0.5	-0.947125	639.426	-7.27596E-12

1	2	13	12
2	3	14	13
3	4	15	14
4	5	16	15
5	6	17	16
6	7	18	17
7	8	19	18
8	9	20	19
9	10	21	20
10	11	22	21
12	13	24	23
13	14	25	24
14	15	26	25
15	16	27	26
16	17	28	27
17	18	29	28
18	19	30	29
19	20	31	30
20	21	32	31
21	22	33	32
23	24	35	34
24	25	36	35
25	26	37	36
26	27	38	37
27	28	39	38
28	29	40	39
29	30	41	40
30	31	42	41
31	32	43	42
32	33	44	43
34	35	46	45
35	36	47	46
36	37	48	47
37	38	49	48
38	39	50	49
39	40	51	50
40	41	52	51
41	42	53	52
42	43	54	53
43	44	55	54
45	46	57	56
46	47	58	57
47	48	59	58
48	49	60	59
49	50	61	60
50	51	62	61
51	52	63	62
52	53	64	63
53	54	65	64
54	55	66	65
56	57	68	67
57	58	69	68
58	59	70	69
59	60	71	70
60	61	72	71
61	62	73	72
62	63	74	73
63	64	75	74
64	65	76	75
65	66	77	76
67	68	79	78
68	69	80	79
69	70	81	80
70	71	82	81
71	72	83	82
72	73	84	83
73	74	85	84
74	75	86	85
75	76	87	86
76	77	88	87
78	79	90	89
79	80	91	90
80	81	92	91
